comment,comment_length
"Simple, Well presented and straightforward to the point. That&#39;s what we all need. Thanks!",93
"You said everything we need under 7 minutes, but most of instructors still argue to teach git by command line to show us they know a lot about programming",154
"There are no links in the video description, about advanced git topics in vs code, as mentioned at the end of the video",119
Really helpful for me<br>Appreciated 👏,38
Seriously? .. Can I only hit the like button once for this video? .. Fantastic job! Thank you!,94
Awesome So much knowledge in less than 7 mins Hats off,54
I had an option at one time to upload just a single folder to Github and deselect others I had in a workspace that I didn&#39;t want to at one point but now VSCode is refusing to show me. Is there a way to re-enable that?,221
"At timestamp <a href=""https://www.youtube.com/watch?v=i_23KUAEtUM&amp;t=339"">5:39</a> why is it prompting me to set up a repository when I&#39;ve already set up the repository?",176
Thank you!,10
One of bestest videos of learning VSC. Your content was crisp and straight to the point and absolutely practical for our work related stuffs.,141
"Why is it so hard, why studio detecting client and server folders separately, if i want to have single project, and whole hour i searching how to do it, do you heard anything adout user frendliness? In what hole you put this settings?",234
Thank you so much!,18
What software are you using to do your videos?,46
I love this method of using the KISS method. Keep it simple and sincere!! Thank you for your time.,98
One of the best video on this topic. Thank you Reynald.,55
"<a href=""https://www.youtube.com/watch?v=i_23KUAEtUM&amp;t=94"">1:34</a> The + sign doesn&#39;t show up to me, what do I do?",123
❤❤❤,3
"Amazing, Thanks!!!",18
This was so useful and concise. Thank you so much!,50
Love your tutorials.,20
"Great, this has been very helpful..! Precise and concise.",57
This worked. Thanks,19
"Great video for beginners like me, it was very useful. Thanks for sharing!",74
What a great video.  Making the world a better place.,53
thsi is the best and precise video i have seen about github,59
can&#39;t any of you MORONS TELLL US HOW TO RUN THE DAMN CODE from a REPO jesus,79
"Thanks for the explanation. I have an issue, when I click Source control it shows me open repo instead of initialize repo. How to fixt it",137
this video does&#39;t have enough likes. It is outstanding material!,68
Great video.  Well made.  To the point.  Thx,44
"A really clear introduction to VSCode and git/github, thank you so much! More of this please :) <br><br>(I&#39;ll be looking for your other videos)",147
"Very informative and right on point. Helped me a lot. Thanks, keep it up.",73
big thanks!!!,13
"I accidentally stumbled upon this video while I was searching for Git Installation and initialization with VS Code, I watched this video and then realized it&#39;s from VS Code itself. It&#39;s super easy and it&#39;s my first time pushing code to GitHub 😍😍 Thank you so much ❤❤",278
wow thats great feature,23
